sepal_length,sepal_width,petal_length,petal_width,true_class,true_class_name,loocv_prediction,loocv_prediction_name,loocv_correct,pc1,pc2
5.1,3.5,1.4,0.2,0,setosa,0,setosa,1,-2.2647028088075887,0.48002659652098995
4.9,3.0,1.4,0.2,0,setosa,0,setosa,1,-2.0809611519657674,-0.6741335566053527
4.7,3.2,1.3,0.2,0,setosa,0,setosa,1,-2.3642290538903006,-0.3419080238846759
4.6,3.1,1.5,0.2,0,setosa,0,setosa,1,-2.2993842170427077,-0.5973945076746754
5.0,3.6,1.4,0.2,0,setosa,0,setosa,1,-2.389842166313845,0.6468353829020278
5.4,3.9,1.7,0.4,0,setosa,0,setosa,1,-2.0756309481765127,1.489177523321168
4.6,3.4,1.4,0.3,0,setosa,0,setosa,1,-2.444028835134153,0.04764419763001466
5.0,3.4,1.5,0.2,0,setosa,0,setosa,1,-2.232847158872015,0.22314807268959236
4.4,2.9,1.4,0.2,0,setosa,0,setosa,1,-2.334640477907621,-1.1153276754616663
4.9,3.1,1.5,0.1,0,setosa,0,setosa,1,-2.184328174933942,-0.46901356140237543
5.4,3.7,1.5,0.2,0,setosa,0,setosa,1,-2.166310100701323,1.0436906530538608
4.8,3.4,1.6,0.2,0,setosa,0,setosa,1,-2.3261308664426985,0.13307833523923207
4.8,3.0,1.4,0.1,0,setosa,0,setosa,1,-2.218450898822409,-0.7286761653165706
4.3,3.0,1.1,0.1,0,setosa,0,setosa,1,-2.633100695765228,-0.9615067291701629
5.8,4.0,1.2,0.2,0,setosa,0,setosa,1,-2.198740603266691,1.860057113293933
5.7,4.4,1.5,0.4,0,setosa,0,setosa,1,-2.262214531601023,2.686284485110594
5.4,3.9,1.3,0.4,0,setosa,0,setosa,1,-2.2075876958245932,1.4836093631555738
5.1,3.5,1.4,0.3,0,setosa,0,setosa,1,-2.1903495091922993,0.4888383164863283
5.7,3.8,1.7,0.3,0,setosa,0,setosa,1,-1.8985719958028429,1.4050187944665506
5.1,3.8,1.5,0.3,0,setosa,0,setosa,1,-2.3433690530749938,1.127849381908477
5.4,3.4,1.7,0.2,0,setosa,0,setosa,1,-1.914322996082568,0.40885570775590696
5.1,3.7,1.5,0.4,0,setosa,0,setosa,1,-2.207012843194799,0.9241214267468991
4.6,3.6,1.0,0.2,0,setosa,0,setosa,1,-2.7743447029273325,0.4583436677529162
5.1,3.3,1.7,0.5,0,setosa,0,setosa,1,-1.8186695286958494,0.08555852628736653
4.8,3.4,1.9,0.2,0,setosa,0,setosa,1,-2.2271633057066387,0.13725445536342765
5.0,3.0,1.6,0.2,0,setosa,0,setosa,1,-1.9518463309003757,-0.6256185877766763
5.0,3.4,1.6,0.4,0,setosa,0,setosa,1,-2.0511513727294157,0.24216355266166764
5.2,3.5,1.5,0.2,0,setosa,0,setosa,1,-2.168577174654217,0.5271495253082681
5.2,3.4,1.4,0.2,0,setosa,0,setosa,1,-2.1395634513013317,0.31321781013995253
4.7,3.2,1.6,0.2,0,setosa,0,setosa,1,-2.2652614931542403,-0.3377319037604803
4.8,3.1,1.6,0.2,0,setosa,0,setosa,1,-2.140122135647984,-0.5045406901415181
5.4,3.4,1.5,0.4,0,setosa,0,setosa,1,-1.8315947706760287,0.42369506760378667
5.2,4.1,1.5,0.1,0,setosa,0,setosa,1,-2.6149479358589356,1.7935758561044297
5.5,4.2,1.4,0.2,0,setosa,0,setosa,1,-2.446177391696516,2.1507278773929257
4.9,3.1,1.5,0.2,0,setosa,0,setosa,1,-2.109974875318652,-0.4602018414370371
5.0,3.2,1.2,0.2,0,setosa,0,setosa,1,-2.2078088990782656,-0.20610739768843636
5.5,3.5,1.3,0.2,0,setosa,0,setosa,1,-2.0451462067542017,0.661558111463109
4.9,3.6,1.4,0.1,0,setosa,0,setosa,1,-2.5273319131704866,0.5922927741908103
4.4,3.0,1.3,0.2,0,setosa,0,setosa,1,-2.4296325750845456,-0.9041800403761479
5.1,3.4,1.5,0.2,0,setosa,0,setosa,1,-2.169710711630664,0.26887896143547146
5.0,3.5,1.3,0.3,0,setosa,0,setosa,1,-2.2864751433456707,0.4417153876990508
4.5,2.3,1.3,0.3,0,setosa,0,setosa,1,-1.8581224563735703,-2.3374151575533486
4.4,3.2,1.3,0.2,0,setosa,0,setosa,1,-2.553638395614356,-0.4791006901223138
5.0,3.5,1.6,0.6,0,setosa,0,setosa,1,-1.964447683763741,0.47232666771926146
5.1,3.8,1.9,0.4,0,setosa,0,setosa,1,-2.1370590058116234,1.1422292620394094
4.8,3.0,1.4,0.3,0,setosa,0,setosa,1,-2.0697442995918296,-0.7110527253858939
5.1,3.8,1.6,0.2,0,setosa,0,setosa,1,-2.3847331657782633,1.1204297019845373
4.6,3.2,1.4,0.2,0,setosa,0,setosa,1,-2.394376314219633,-0.38624687258915685
5.3,3.7,1.5,0.2,0,setosa,0,setosa,1,-2.229446547942675,0.9979597643079811
5.0,3.3,1.4,0.2,0,setosa,0,setosa,1,-2.2038334355191305,0.00921635752127674
7.0,3.2,4.7,1.4,1,versicolor,1,versicolor,1,1.1017811830529478,0.8629724182621593
6.4,3.2,4.5,1.5,1,versicolor,1,versicolor,1,0.7313374253960876,0.5946147256694249
6.9,3.1,4.9,1.5,1,versicolor,1,versicolor,1,1.2409793195158314,0.6162976544374986
5.5,2.3,4.0,1.3,1,versicolor,1,versicolor,1,0.40748305881738645,-1.7544039893234111
6.5,2.8,4.6,1.5,1,versicolor,1,versicolor,1,1.0754747006090788,-0.2084210460509656
5.7,2.8,4.5,1.3,1,versicolor,1,versicolor,1,0.38868733653566573,-0.5932836359900756
6.3,3.3,4.7,1.6,1,versicolor,1,versicolor,1,0.746529741329161,0.7730193120985966
4.9,2.4,3.3,1.0,1,versicolor,1,versicolor,1,-0.4873227421256384,-1.852429086857575
6.6,2.9,4.6,1.3,1,versicolor,1,versicolor,1,0.9279016383549458,0.03222607789115388
5.2,2.7,3.9,1.4,1,versicolor,1,versicolor,1,0.011426188736981176,-1.0340182751294413
5.0,2.0,3.5,1.0,1,versicolor,1,versicolor,1,-0.11019628000062735,-2.6540728185365654
5.9,3.0,4.2,1.5,1,versicolor,1,versicolor,1,0.44069344898307883,-0.06329518843800157
6.0,2.2,4.0,1.0,1,versicolor,1,versicolor,1,0.5621083064431802,-1.7647243806169457
6.1,2.9,4.7,1.4,1,versicolor,1,versicolor,1,0.7195618886754972,-0.18622460583150596
5.6,2.9,3.6,1.3,1,versicolor,1,versicolor,1,-0.033354703178771684,-0.4390032099816249
6.7,3.1,4.4,1.4,1,versicolor,1,versicolor,1,0.8754071908577378,0.5090639567734088
5.6,3.0,4.5,1.5,1,versicolor,1,versicolor,1,0.35025166799508334,-0.19631173455144438
5.8,2.7,4.1,1.0,1,versicolor,1,versicolor,1,0.15881004754797204,-0.7920957424327216
6.2,2.2,4.5,1.5,1,versicolor,2,virginica,0,1.2250936335624332,-1.6222438030915025
5.6,2.5,3.9,1.1,1,versicolor,1,versicolor,1,0.16491789938632828,-1.3026092302957732
5.9,3.2,4.8,1.8,1,versicolor,2,virginica,0,0.7376826487712587,0.3965715619602388
6.1,2.8,4.0,1.3,1,versicolor,1,versicolor,1,0.47628719094097205,-0.417320281213551
6.3,2.5,4.9,1.5,1,versicolor,1,versicolor,1,1.2341780976571501,-0.9333257287992789
6.1,2.8,4.7,1.2,1,versicolor,1,versicolor,1,0.6328581997098226,-0.4163877208890997
6.4,2.9,4.3,1.3,1,versicolor,1,versicolor,1,0.7026611831361828,-0.06341181972480003
6.6,3.0,4.4,1.4,1,versicolor,1,versicolor,1,0.8742736538812906,0.25079339290061226
6.8,2.8,4.8,1.4,1,versicolor,1,versicolor,1,1.2565091165418842,-0.07725601969586897
6.7,3.0,5.0,1.7,1,versicolor,1,versicolor,1,1.3584051214406323,0.3313116817908981
6.0,2.9,4.5,1.5,1,versicolor,1,versicolor,1,0.6648003672253954,-0.22592785469484383
5.7,2.6,3.5,1.0,1,versicolor,1,versicolor,1,-0.040258610900594634,-1.0587185465539088
